completed: 95700, symbols: ZBH, ZION
bh: 1.067911, wave: 1.075411, delta: -0.007499

delta returns:
NVDA,  THC, -1.478258
FSLR,  THC, -1.229274
 CMG,  THC, -1.186126
ADSK,  THC, -1.150081
ADBE,  THC, -1.136779
AMAT,  THC, -1.132732
QRVO,  THC, -1.122745
AMZN,  THC, -1.095665
LRCX,  THC, -1.073935
 THC, VRTX, -1.063441
 THC,  URI, -1.049906
 NRG,  THC, -1.023670
  MU,  THC, -1.021647
LRCX,   MU, -1.020211
 CRM,  THC, -1.013151
 DHI,  THC, -0.989856
 THC,  TMO, -0.989099
INTU,  THC, -0.977251
 LLY,  THC, -0.936641
 TGT,  THC, -0.928640
MSFT,  THC, -0.928093
 THC,  ZTS, -0.913797
 KSU,  THC, -0.906957
 PHM,  THC, -0.906491
ADBE, NVDA, -0.906114
CTAS,  THC, -0.905784
 CMG, NVDA, -0.898197
 NKE,  THC, -0.890173
 MCO,  THC, -0.885733
 SHW,  THC, -0.881000
 PGR,  THC, -0.871537
KLAC,  THC, -0.871334
   A,  THC, -0.865389
  DG,  THC, -0.864642
GRMN,  THC, -0.861849
  EL,  THC, -0.859562
KLAC,   MU, -0.854508
 BBY,  THC, -0.853524
FSLR, NVDA, -0.851445
SWKS,  THC, -0.845617
AMZN, NVDA, -0.832051
 THC,  TXN, -0.828877
 CSX,  THC, -0.823378
ADSK, NVDA, -0.817051
QCOM,  THC, -0.814532
KLAC, LRCX, -0.812553
 DHR,  THC, -0.801327
  MU, QCOM, -0.785884
GOOG,  THC, -0.784704
 LOW,  THC, -0.781473
 THC, VRSN, -0.780020
 ROP,  THC, -0.773458
GOOG,  THC, -0.771433
 CAT,  THC, -0.759762
 AMP,  THC, -0.753312
  PH,  THC, -0.747193
 NEM,  THC, -0.746334
 THC, TSCO, -0.746077
 PWR,  THC, -0.744756
 THC, TROW, -0.742549
AMAT, NVDA, -0.741852
EQIX,  THC, -0.738696
 ROK,  THC, -0.731337
 HUM,  THC, -0.726069
NVDA, QRVO, -0.723041
 AMT,  THC, -0.721750
 MSI,  THC, -0.719413
 THC,  XYL, -0.718940
NTAP,  THC, -0.716024
 CMG, FSLR, -0.705897
AMAT, FSLR, -0.699239
 PLD,  THC, -0.698176
  HD,  THC, -0.697856
NFLX,  THC, -0.697797
 ACN,  THC, -0.697774
FSLR, QRVO, -0.692030
ADSK, FSLR, -0.690893
NDAQ,  THC, -0.689831
MNST,  THC, -0.685596
COST,  THC, -0.678314
FSLR,  URI, -0.674628
  EA,  THC, -0.673662
 THC,  WMT, -0.672205
  MA,   MU, -0.668153
  MS,  THC, -0.668008
 THC,  UNH, -0.666584
FSLR, LRCX, -0.666301
 APD,  THC, -0.664021
LRCX, NVDA, -0.663641
 TEL,  THC, -0.662185
 CCI,  THC, -0.661551
FSLR,   MU, -0.661240
 AME,  THC, -0.661218
NVDA, VRTX, -0.646977
FSLR, VRTX, -0.644506
MSFT,   MU, -0.641867
 CRM,   MU, -0.637693
ADBE, FSLR, -0.634045
 CRM, NVDA, -0.629620
 NRG, NVDA, -0.628398
 GWW,  THC, -0.627955
ALLE,  THC, -0.625283
  GM,  THC, -0.624985
 ICE,  THC, -0.619844
  CI,  THC, -0.618440
AMGN,  THC, -0.617142
  AN,  THC, -0.616156
  MU,  PHM, -0.615702
ADSK,  CMG, -0.614417
ROST,  THC, -0.613586
 KMX,  THC, -0.613121
 AXP,  THC, -0.611524
AMZN, FSLR, -0.609292
 PHM, QCOM, -0.606656
KLAC, QCOM, -0.606258
 MAS,  THC, -0.606193
NVDA,  TMO, -0.604827
AMAT,  CMG, -0.603237
 MAR,  THC, -0.602460
 DHI, FSLR, -0.602383
  MU,  URI, -0.601963
 AON,  THC, -0.601506
 AVY,  THC, -0.600994
LRCX, QCOM, -0.600806
FSLR,  NRG, -0.600359
AKAM,  THC, -0.599375
  EL,   MU, -0.598751
 CRM, FSLR, -0.596213
 CMG, QRVO, -0.595565
ADSK, AMAT, -0.595238
 AES,  THC, -0.595215
  BA,  THC, -0.589702
ADBE,  CMG, -0.588144
AMAT, QRVO, -0.587361
QRVO,  URI, -0.585911
ADSK, QRVO, -0.584828
  MA, QCOM, -0.582612
 MCD,  THC, -0.581154
ORLY,  THC, -0.580230
 CRM, QCOM, -0.579536
 CLX,  THC, -0.576626
INTC,  THC, -0.573847
 JPM,  THC, -0.572474
AMAT,  URI, -0.572410
 FIS,  THC, -0.570098
 BBY,   MU, -0.568863
  MU, QRVO, -0.567880
 BAX,  THC, -0.566136
EXPD,  THC, -0.565895
